Address,City,Name,Phone Number,source_url
"356 Dundas St W, Toronto, ON M5T 1G5",Toronto,Renascent - Live-In Treatment – Publicly Funded - Renascent Graham Munro Centre,416-927-7649,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"54 Madison Ave, Toronto, ON M5R 2S4",Toronto,Renascent - Live-In Treatment – Publicly Funded - Renascent Madison Avenue Centre,416-927-7649,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"242 Church St, Toronto, ON M5B 1Z2",Toronto,Society of Saint Vincent de Paul - Toronto - Church St - Toronto Central Council - Vincenpaul Community Homes,416-364-5577 ext 225,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"262 Gerrard St E, Toronto, ON M5A 2G2",Toronto,St Michael's Homes,416-926-8267 ext 118,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"277 Rusholme Rd, Toronto, ON M6H 2Y9",Toronto,St Michael's Homes - St Michael's Bed-Based Treatment Program - Rusholme Road,416-926-8267 ext 110,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"87 Pembroke St, Toronto, ON M5A 2N9",Toronto,"Street Haven At The Crossroads, The",416-967-6060,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"160 Jarvis Ave, Toronto, ON M5B 2E1",Toronto,The Salvation Army - Toronto Harbour Light Ministries - Harbour Light Live-In Concurrent Disorder Treatment,416-682-2503,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"78 Admiral Rd, Toronto, ON M5R 2L6",Toronto,The Salvation Army - Toronto Harbour Light Ministries - Homestead Addiction Services - Toronto,416-921-0953 ext 33,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"162 Madison Ave, Toronto, ON M5R 2S6",Toronto,Transition House Incorporated - Transition House,416-925-4531,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"Glendale House, 85 Glendale Ave, Toronto, ON M6R 1B5",Toronto,Unity Health Toronto - St Joseph's Health Centre - Addiction Services - Withdrawal Management Residential Services,1-866-366-9513,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
"King City, ON L7B 1K4",King City,Caritas School Of Life - King City - Residential Program,905-264-9955,https://www.ottawahospital.on.ca/en/newsroom/ottawa-area-hospitals-if-you-need-care-please-come-to-or-connect-with-your-hospital/
135 McLaughlin Road South,Brampton,Withdrawal Management Centre,905-456-3500 or 905-494-2120 ext. 22584,https://gbgh.on.ca/programs-and-services/rehabilitation-services/
20 Lynch Street,Brampton,Peel Memorial,905-494-2120 ext. 29385,https://gbgh.on.ca/programs-and-services/rehabilitation-services/
101 Humber College Boulevard,Etobicoke,Etobicoke General,905-494-2120 ext. 29385,https://gbgh.on.ca/programs-and-services/rehabilitation-services/
"1145 Carling Ave., Ottawa, ON K1Z 7K4",Ottawa,The Royal - Ottawa Campus,(613) 722-6521,https://www.edgewoodhealthnetwork.com/locations/ehn-online/
"1141 Carling Ave., Ottawa, ON K1Z 7K4",Ottawa,The Royal - Long-Term Care,(613) 722-6521,https://www.edgewoodhealthnetwork.com/locations/ehn-online/
"1804 Highway 2 E, P.O. Box 1050, Brockville, ON K6V 5W7",Brockville,The Royal - Brockville Campus,(613) 345-1461,https://www.edgewoodhealthnetwork.com/locations/ehn-online/
"2121 Carling Ave., Ottawa, ON K2A 1H2",Ottawa,The Royal - Community Mental Health,(613) 722-6521,https://www.edgewoodhealthnetwork.com/locations/ehn-online/
170 Emmett Ave,Toronto,West Park Healthcare Centre,416-243-3600 ext. 44444,https://pmc.ncbi.nlm.nih.gov/articles/PMC12616965/
"1235 Wilson Avenue, M3M 0B2",Toronto,Humber River Health,(416) 242-1000,https://www.facebook.com/ONThealth/posts/ontarios-homelessness-and-addiction-recovery-treatment-hart-hubs-are-making-prog/1297277815765539/
9996 Kennedy Road,Brampton,Youth Substance Awareness Program (YSAP) - Brampton Central Park Dr. YMCA Child Care Centre,416-473-7407,https://www.canadadrugrehab.ca/blog/addiction-treatment-withdrawal/provincial-snapshot-accessing-public-treatment-bc/
"55 City Centre Drive, Suite 100",Mississauga,Youth Substance Awareness Program (YSAP) - Mississauga YMCA Employment and Community Services,416-473-7407,https://www.canadadrugrehab.ca/blog/addiction-treatment-withdrawal/provincial-snapshot-accessing-public-treatment-bc/
230 Town Centre Court,Scarborough,Youth Substance Awareness Program (YSAP) - Scarborough Centre YMCA,416-473-7407,https://www.canadadrugrehab.ca/blog/addiction-treatment-withdrawal/provincial-snapshot-accessing-public-treatment-bc/
"4580 Dufferin Street, Suite 200",North York,Youth Substance Awareness Program (YSAP) - North York YMCA Employment and Immigrant Services,416-473-7407,https://www.canadadrugrehab.ca/blog/addiction-treatment-withdrawal/provincial-snapshot-accessing-public-treatment-bc/
7 Vanauley Street,Toronto,Youth Substance Awareness Program (YSAP) - The Wagner Green YMCA (formerly Vanauley Street YMCA),416-473-7407,https://www.canadadrugrehab.ca/blog/addiction-treatment-withdrawal/provincial-snapshot-accessing-public-treatment-bc/
1145 Carling Ave.,"Ottawa, ON K1Z 7K4",The Royal - Ottawa Campus,+1 (613) 722-6521,https://link.springer.com/article/10.1186/s12889-021-12104-w
1141 Carling Ave.,"Ottawa, ON K1Z 7K4",The Royal - Long-Term Care,+1 (613) 722-6521,https://link.springer.com/article/10.1186/s12889-021-12104-w
"1804 Highway 2 E, P.O. Box 1050","Brockville, ON K6V 5W7",The Royal - Brockville Campus,+1 (613) 345-1461,https://link.springer.com/article/10.1186/s12889-021-12104-w
2121 Carling Ave.,"Ottawa, ON K2A 1H2",The Royal - Community Mental Health,+1 (613) 722-6521,https://link.springer.com/article/10.1186/s12889-021-12104-w
"130 Bloor Street West, 10th Floor, M5S 1N5",Toronto,Ontario Health,1-877-280-8538,https://www.hqontario.ca/Portals/0/documents/evidence/quality-standards/qs-transitions-from-youth-to-adult-health-care-services-quality-standard-en.pdf
"2075 Bayview Avenue, G106",Toronto,ICES (Institute for Clinical Evaluative Sciences),416-480-4055,https://www.ices.on.ca/wp-content/uploads/2023/06/Summary-1.pdf
