Address,City,Name,Phone Number,source_url
"55 Chapple Avenue, P6B 3P2",Sault Ste. Marie,March of Dimes,705-575-7335,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"236 Frontenac Street / Rankin Reserve 15D, P6A 6Z1",Batchewana First Nation,Batchewana Health Centre,705-759-0914,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"23 Shingwauk Street, P6A 7B2",Garden River,Garden River Wellness Centre,705-946-5710,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"122 East Street, P6A 3C6",Sault Ste. Marie,Sault Ste. Marie Indian Friendship Centre,705-256-5634,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"210 B Gran Street, P6A 0C4",Batchewana First Nation,Nogdawindamin,705-946-3700,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"169 Spring Street, P6A 3A3",Sault Ste. Marie,Waabinong Head Start Family Resource Centre,705-253-3129,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"McNabb Street, P6B 1Z3",Sault Ste. Marie,Access 2 Entertainment (Easter Seals),705-254-5454,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"100 Ontario Avenue, P6B 1E3",Sault Ste. Marie,Breaking Away SSM,705-575-3355,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"118 Brock Street, P6A 3B5",Sault Ste. Marie,"Bricks4Kidz, Sault Ste. Marie",705-450-7529,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"260 Elizabeth Street, P6A 6J3",Sault Ste. Marie,John Rhodes Community Centre Pool,705-759-5419,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"556 Goulais Avenue, P6C 5A7",Sault Ste. Marie,Northern Community Centre,705-759-5489,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"88 White Oak Drive East, P6B 4J8",Sault Ste. Marie,Ignite Gym,705-206-7100,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"54 Wellington Street West, P6A 1H1",Sault Ste. Marie,Sault Ste. Marie International Karate Daigaku,705-759-8552,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"796 Queen St. E., P6A 2B1",Sault Ste. Marie,Strong Minds,705-987-3825,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"104 Rankin Road, P6A 4R8",Sault Ste. Marie,Brenna Lanktree and Associates,705-575-5515,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"97 Hinton Avenue North, K1Y 0Z7",Ottawa,Emerging Minds,613-851-6292,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"68 Dennis Street, Suite 3, P6A 2W9",Sault Ste. Marie,Lighthouse Counselling and Therapy Services SSM,705-257-8459,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"1-1191 Lansing Avenue, P3A 4C4",Sudbury,Roots & Wings Psychology,705-885-9998,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"444 Albert Street East, P6A 2J8",Sault Ste. Marie,SSM Open Minds Core Services Centre,705-253-1157,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"589 Second Line East, P6B 4K2",Sault Ste. Marie,Spark Rehabilitation,705-253-2354,https://saultstemarie.ca/wp-content/uploads/2025/09/Autism-Neurodiversity-Resource-Directory-2025.pdf
"391 Oak Street East, North Bay, ON P1B 1A3",North Bay,Developmental Services Ontario (DSO) - North Bay,705-476-2293 ext. 1206,https://thefamilyhelpnetwork.ca/wp-content/uploads/2024/03/DSO-Welcome-Package-ENGLISH-R-09.21.23.pdf
"23 Ball’s Drive, Bracebridge, ON P1L 1T1",Bracebridge,Developmental Services Ontario (DSO) - Bracebridge,705-645-3155 ext. 1206,https://thefamilyhelpnetwork.ca/wp-content/uploads/2024/03/DSO-Welcome-Package-ENGLISH-R-09.21.23.pdf
"Suite 103, 60 Wilson Avenue, Timmins, ON P4N 2S7",Timmins,Developmental Services Ontario (DSO) - Timmins,705-264-0860,https://thefamilyhelpnetwork.ca/wp-content/uploads/2024/03/DSO-Welcome-Package-ENGLISH-R-09.21.23.pdf
"150 Kilgour Road, Toronto, ON M4G 1R8",Toronto,Holland Bloorview Kids Rehabilitation Hospital,416-425-6220,https://hollandbloorview.ca/sites/default/files/2021-01/2021-01%20Funding%20and%20Financial%20Supports%20Guide_0.pdf
"1175 Bloor Street West, Toronto, ON, M6H 1M9",Toronto,Canadian Music Therapy Trust Fund,416 535 0200,https://hollandbloorview.ca/sites/default/files/2021-01/2021-01%20Funding%20and%20Financial%20Supports%20Guide_0.pdf
"4th Floor, 80 Grosvenor Street, Toronto, Ontario M7A 1E9",Toronto,"Ministry of Community and Social Services, Developmental Services Branch",(416) 327-4954 / 1-866-340-8881,https://liveworkplay.ca/wp-content/uploads/2022/04/Opportunities-and-Action.pdf
"Bloor St. E., Ste. 110, Toronto, Ontario M4W 3R5",Toronto,ARCH Disability Law Centre,416-482-8255,https://www.archdisabilitylaw.ca/sites/all/files/ASSISTIVE%20DEVICES%20FINAL%20REPORT%20(incl.%20exec%20summary)%20-%20June%2029%202007%20-%20PDF.pdf
"1001 Queen St W, Toronto, ON M6J 1H4",Toronto,Centre for Addictions & Mental Health,416-535-8501,https://www.dlsph.utoronto.ca/wp-content/uploads/2024/05/ON-NEIHR-Year-1-Annual-Report-2.pdf
